filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,label
blues.00039.wav_seg1,220500,0.23685835,0.094201036,0.0723946,0.0013194681,871.7540698902277,184048.28975029627,1419.2421683592866,200953.62962040195,1432.3826765516242,1449923.2734452086,0.030944116154292343,0.00015031702749064102,5.2523965e-06,0.00578357,-4.565485e-06,0.000291164,[117.45383523],blues
blues.00039.wav_seg2,220500,0.268292,0.10026037,0.08141862,0.0017424234,1238.1827854899097,697327.2154823088,1795.0840026482842,367308.42815474875,2552.7837129314094,4784316.103061241,0.03633107054814385,0.0012399082362599524,-3.605301e-06,0.007489982,-3.7692664e-06,0.0003350657,[117.45383523],blues
blues.00039.wav_seg3,220500,0.2770938,0.10752709,0.103479534,0.0043216185,1344.5327761491162,539690.4383237916,1915.5720979536034,288593.97538296477,2955.3446971070184,4297949.335273841,0.03851644069025522,0.0014284807486197875,-1.2163683e-06,0.014055057,-2.7839856e-06,0.00029009694,[129.19921875],blues
blues.00027.wav_seg1,220500,0.3067071,0.095114455,0.08805848,0.0018620784,1353.9215663795899,184716.9191725981,1553.6880242203226,41792.613442415364,2843.9565848861657,474460.12048201094,0.0677974550464037,0.0023295946836005654,-2.1604845e-05,0.0064888583,-3.933e-05,0.0013931436,[95.703125],blues
blues.00027.wav_seg2,220500,0.29910526,0.09524327,0.10630698,0.0025364025,1274.5566511049499,159484.52357119508,1389.7250011522756,40508.77667129459,2562.1763862202724,464147.0123912864,0.06235838710846868,0.0016860733713184141,-7.8373105e-06,0.009363793,-4.5576573e-05,0.0018559317,[92.28515625],blues
blues.00027.wav_seg3,220500,0.2629826,0.09214058,0.09239141,0.0019739938,1550.5147492002172,214643.72462825364,1548.3237607624235,35442.92673050869,3036.4814067937937,572396.3727040929,0.08645976834396751,0.0032745646278891077,-1.20821205e-05,0.007454986,-0.00018040753,0.0013206544,[92.28515625],blues
blues.00005.wav_seg1,220500,0.3170576,0.08886133,0.10285633,0.004124137,1795.5366288626617,1231141.4419143717,1674.7631750331452,239122.14488205925,3318.936079339472,3859007.832165045,0.09621633011890951,0.007177315774500599,1.6200971e-05,0.00861049,-2.8560315e-05,0.0029813906,[67.99958882],blues
blues.00005.wav_seg2,220500,0.29153153,0.087948725,0.09774588,0.0031936262,1885.5314002350046,1167550.4107017303,1749.9869490188773,175899.08244683628,3542.2868556046983,3097945.0784259383,0.09534172890081206,0.008222377989293055,-1.0072299e-05,0.008554991,-3.264054e-05,0.0017374026,[69.83741554],blues
blues.00005.wav_seg3,220500,0.30393425,0.08606284,0.109391995,0.0045727,1813.4508724668506,690505.8040452894,1764.4089050948496,185322.50179306607,3568.141687663138,2852519.426538044,0.09010771642981438,0.003260536724587967,-2.8520772e-06,0.0069886073,-2.2114586e-05,0.005045929,[69.83741554],blues
blues.00058.wav_seg1,220500,0.34888455,0.08893494,0.17442058,0.004778046,2407.959744006766,273325.3023277269,2243.252795739605,77931.02982606455,4921.635900793938,1005094.8093615411,0.12433498586136892,0.0023189860739801305,7.339108e-06,0.017623477,-1.9260591e-05,0.009318011,[107.66601562],blues
blues.00058.wav_seg2,220500,0.36137486,0.08784115,0.15655415,0.0050007435,1874.4759748818706,176730.32117582695,1883.5257840261413,91617.65026481377,3788.5197827544953,702681.2010301792,0.09601240755510441,0.0016938705615191397,-9.026851e-06,0.012347934,-3.6331552e-05,0.009433446,[103.359375],blues
blues.00058.wav_seg3,220500,0.36039677,0.08573645,0.15425411,0.0044066017,1923.1487278245966,227743.56186821344,1975.9591161610033,109532.62013920219,3987.839304488109,963266.0265083769,0.0921933910962877,0.0011741898050231785,-3.5390033e-06,0.011485095,-3.9064365e-05,0.009316885,[107.66601562],blues
blues.00028.wav_seg1,220500,0.26247808,0.09821051,0.11659793,0.0073045585,1059.1554797015397,79712.2990501123,1318.2425449658806,43968.722301436,2039.883798125725,381181.9783513585,0.05101802675464037,0.0010926616451702416,-2.319348e-06,0.011519746,-5.528168e-06,0.0037968138,[103.359375],blues
blues.00028.wav_seg2,220500,0.2944932,0.09913268,0.085139126,0.0019775603,1160.6348017101907,128178.77094561272,1471.7828738622577,56879.969031544,2453.4861695185614,751101.0097746807,0.04758646316705337,0.00078717901973131,-1.3791633e-05,0.005500804,-0.000114086535,0.0018559771,[103.359375],blues
blues.00028.wav_seg3,220500,0.27702063,0.100274555,0.096888214,0.0025126545,1128.0463017265654,104900.35125946504,1408.2284155571974,48149.895908576465,2382.416607000435,687516.9952935419,0.04527647368039443,0.0005622041163120906,1.7518136e-05,0.007508503,2.4469355e-05,0.002263263,[103.359375],blues
blues.00024.wav_seg1,220500,0.23754628,0.097856656,0.10865306,0.0036691558,1072.0825730200597,155663.90322895662,1347.7279053054365,35589.51750841841,2107.2062835339325,966642.7464643318,0.04925522948085847,0.0011714546057236147,9.860972e-06,0.010311575,2.2026745e-05,0.002278008,[103.359375],blues
blues.00024.wav_seg2,220500,0.28559548,0.10130736,0.07166588,0.0014308045,1172.4395118279504,194371.97403221167,1515.0864223477927,51527.03846594129,2473.6954053980567,1071827.3636691745,0.04838062826276102,0.0012103858475560343,-3.3628177e-05,0.0042551043,-0.00018988106,0.0012373631,[103.359375],blues
blues.00024.wav_seg3,220500,0.26903835,0.10094415,0.0803876,0.001680153,1116.9766415628555,172719.21145466695,1484.200167860741,58917.25104237424,2393.957604498985,1284181.6949398292,0.044074463457076565,0.0008464456140401742,-9.794934e-06,0.005071254,-0.00011406059,0.0016557965,[103.359375],blues
blues.00062.wav_seg1,220500,0.30537596,0.092961214,0.108306475,0.0007796524,2250.007284761213,395164.5667770137,2098.2755254630415,32891.28942805833,4697.13602088167,692104.8849779024,0.1187373114849188,0.004569012686689557,8.376889e-06,0.0057994775,5.7120174e-05,0.0033043795,[112.34714674],blues
blues.00062.wav_seg2,220500,0.32693514,0.09377494,0.10255539,0.00088865333,2187.474315005624,364456.62238299195,2104.5700081846308,29330.436953866745,4619.371680593823,746562.4830495905,0.10774701819895592,0.0029913233430817567,2.2111688e-05,0.0056653363,1.0206823e-05,0.0029090932,[112.34714674],blues
blues.00062.wav_seg3,220500,0.30310464,0.089687884,0.107499994,0.0009201114,2401.979307571851,481914.3051941309,2158.722651950565,44194.05547686993,4885.613999510586,852193.6046453991,0.12432478973317865,0.0036790353421803338,-8.974998e-06,0.006797071,0.0001381748,0.0028377774,[112.34714674],blues
blues.00090.wav_seg1,220500,0.3926486,0.095151,0.1341133,0.0019989768,1576.4840587897484,914626.8611487986,1932.5193464795832,287110.3623070158,3384.7097728755803,4204871.156061227,0.05740986622679815,0.002805030151920332,6.577055e-06,0.01313606,-9.7102784e-05,0.002216469,[71.77734375],blues
blues.00090.wav_seg2,220500,0.37386435,0.09435785,0.1250716,0.0021718636,1818.1406354191026,825134.1472909203,2047.9860285732054,204522.72849776185,3876.9008415204466,3073870.583969543,0.06955572070765662,0.004212143071286474,-8.376155e-06,0.011068734,-0.00011086595,0.0025891163,[92.28515625],blues
blues.00090.wav_seg3,220500,0.36608273,0.09441167,0.13593102,0.0022011774,1445.2631093170871,539631.0813914045,1934.4364642169232,236091.6864007341,3144.522130129785,3310582.257007029,0.0472715160962877,0.0007909089823400786,-1.9419162e-05,0.014623227,-0.00011960431,0.0019999,[143.5546875],blues
blues.00064.wav_seg1,220500,0.33627677,0.08151585,0.11456323,0.00055542204,2557.564431140522,133243.5000666725,2294.791208966409,33368.85377066431,5200.59330137036,336538.4784248048,0.1449005764211137,0.0011163385284768989,-2.4263054e-05,0.0064878836,-0.0003471792,0.0031782573,[78.30255682],blues
blues.00064.wav_seg2,220500,0.33034435,0.08005965,0.120153904,0.0005099522,2577.655192940343,88867.41935997026,2262.02394207205,31818.390455882167,5111.912476435615,223263.6788109629,0.15392868148201855,0.0009722620762663659,-1.1972119e-05,0.008898675,-0.00027682466,0.002689563,[78.30255682],blues
blues.00064.wav_seg3,220500,0.33263838,0.08006668,0.116983384,0.00057489704,2524.7602118719933,99940.52384970298,2284.32038512674,32754.702507211005,5133.970270356003,270957.1486519912,0.14088896642981438,0.0010427117842494778,-1.1693254e-05,0.007947865,-0.00032549986,0.0027569123,[78.30255682],blues
blues.00013.wav_seg1,220500,0.29591936,0.08887376,0.09905571,0.0021409756,1323.4170789985465,118791.87530099433,1867.97717440357,71290.11561830399,2817.5272010042054,918783.9072152021,0.04871823339617169,0.0007903952993392668,-8.361028e-06,0.00776276,-1.95596e-05,0.0015674966,[107.66601562],blues
blues.00013.wav_seg2,220500,0.2665262,0.090087555,0.11526182,0.0042646583,1275.3702603344532,152852.23338258508,1826.416559544435,85036.03920709855,2640.190531648782,1093683.376757607,0.04721373803654293,0.0012582745591260143,-5.9956055e-06,0.013092007,-9.538949e-05,0.0016588514,[103.359375],blues
blues.00013.wav_seg3,220500,0.23060371,0.09183554,0.12463861,0.0057811243,1377.7969788729476,235725.99646353922,1794.450898942424,76530.06490320839,2688.652728937065,1197207.0811477073,0.05816324680974478,0.0016580053743227542,-2.7306402e-05,0.01711815,-7.423269e-05,0.001601922,[112.34714674],blues
blues.00002.wav_seg1,220500,0.3818375,0.08721287,0.16569412,0.002067357,1521.9088014538531,224893.6876275428,1737.506669991492,64060.06575410538,3028.9123110317573,849988.536094065,0.07018221613979118,0.001670339719073813,-1.3552467e-05,0.012943909,-9.1538395e-06,0.0071860636,[161.49902344],blues
blues.00002.wav_seg2,220500,0.35824245,0.085874185,0.16774414,0.0018223072,1508.5621894738526,165746.94022262262,1696.5924809870257,85349.77968653214,2979.7756398636893,931272.6897326466,0.07305752428944315,0.0006472413639393864,1.4842773e-06,0.013828329,-2.3089198e-05,0.0071181525,[161.49902344],blues
blues.00002.wav_seg3,220500,0.35367277,0.08191456,0.19257936,0.0039350376,1627.5925479228567,69085.20326762047,1809.8908818561158,72283.10255572942,3112.0974228719547,556124.3684077526,0.08519884715777262,0.0005851575668972137,9.975454e-06,0.022224708,-8.840965e-06,0.0080357175,[161.49902344],blues
blues.00095.wav_seg1,220500,0.36092612,0.09106338,0.17790267,0.001911866,1356.6023717072987,649424.2999975579,1759.7180716409932,194536.79229053034,2679.434919246665,2558215.7086074343,0.05271398274361949,0.0015047892330748633,1.0022645e-05,0.024870073,-9.5848605e-05,0.0023027638,[135.99917763],blues
